% Y. Wang et al. The Holocene Asian Monsoon: Links to Solar Changes 
%     and North Atlantic Climate. Science, 2005. DOI: 10.1126/science.1106296

% NB. Age is in kilo-years before 1950.

%Age	d18O
5.613	-8.130
5.619	-8.320
5.625	-8.300
5.630	-8.360
5.636	-8.290
5.641	-8.240
5.647	-8.220
5.652	-8.020
5.658	-8.260
5.664	-8.110
5.669	-8.280
5.675	-8.260
5.680	-8.150
5.686	-8.140
5.692	-8.250
5.697	-8.310
5.703	-8.420
5.708	-8.420
5.714	-8.360
5.720	-8.320
5.725	-8.440
5.731	-8.330
5.736	-8.350
5.742	-8.300
5.747	-8.370
5.753	-8.400
5.759	-8.300
5.764	-8.420
5.770	-8.230
5.775	-8.510
5.781	-8.500
5.786	-8.440
5.791	-8.450
5.796	-8.440
5.801	-8.370
5.806	-8.340
5.812	-8.370
5.817	-8.490
5.822	-8.380
5.827	-8.690
5.832	-8.720
5.837	-8.690
5.842	-8.520
5.847	-8.680
5.852	-8.580
5.857	-8.510
5.862	-8.620
5.867	-8.490
5.873	-8.360
5.878	-8.460
5.883	-8.410
5.888	-8.500
5.893	-8.520
5.898	-8.430
5.903	-8.560
5.908	-8.490
5.913	-8.600
5.918	-8.520
5.923	-8.530
5.929	-8.490
5.934	-8.350
5.939	-8.130
5.944	-8.410
5.949	-8.430
5.954	-8.400
5.959	-8.310
5.964	-8.380
5.969	-8.400
5.974	-8.390
5.979	-8.420
5.985	-8.460
5.990	-8.360
5.995	-8.540
6.000	-8.480
6.005	-8.530
6.010	-8.570
6.015	-8.540
6.020	-8.550
6.025	-8.480
6.030	-8.400
6.035	-8.420
6.040	-8.300
6.046	-8.460
6.051	-8.320
6.056	-8.560
6.061	-8.660
6.066	-8.440
6.071	-8.440
6.076	-8.470
6.081	-8.310
6.086	-8.380
6.091	-8.410
6.096	-8.340
6.102	-8.270
6.107	-8.190
6.112	-8.190
6.117	-8.070
6.122	-8.130
6.127	-8.030
6.132	-8.240
6.137	-8.450
6.142	-8.460
6.147	-8.450
6.152	-8.350
6.157	-8.310
6.163	-8.370
6.168	-8.260
6.173	-7.940
6.178	-8.130
6.183	-8.130
6.188	-8.340
6.190	-8.130
6.193	-8.290
6.195	-8.340
6.198	-8.310
6.200	-8.300
6.201	-8.340
6.203	-8.430
6.204	-7.800
6.205	-7.360
6.206	-7.180
6.208	-8.650
6.210	-8.150
6.213	-8.040
6.215	-8.120
6.218	-8.300
6.220	-8.180
6.223	-8.140
6.225	-8.210
6.227	-8.000
6.230	-8.150
6.232	-8.200
6.235	-8.350
6.237	-8.300
6.240	-8.440
6.242	-8.520
6.245	-8.350
6.247	-8.410
6.250	-8.430
6.252	-8.420
6.255	-8.450
6.257	-8.430
6.261	-8.490
6.264	-8.480
6.266	-8.480
6.268	-8.250
6.270	-8.350
6.271	-8.370
6.273	-8.380
6.275	-8.450
6.277	-8.420
6.279	-8.550
6.282	-8.610
6.286	-8.540
6.289	-8.440
6.293	-8.370
6.296	-8.390
6.300	-8.350
6.304	-8.250
6.307	-8.390
6.311	-8.280
6.314	-8.360
6.318	-8.250
6.322	-8.300
6.325	-8.390
6.329	-8.290
6.332	-8.390
6.336	-8.370
6.339	-8.210
6.343	-8.270
6.347	-8.150
6.350	-8.370
